date,year,prices,market_caps,total_volumes,v_porcentual_d,MM65
2023-04-18,2023,1.90122e-07,0.0,72312149.8663182,0.0,0.0
2023-04-19,2023,1.90122e-07,0.0,72312149.8663182,0.0,0.0
2023-04-20,2023,2.4879799999999995e-07,103889715.05745001,135270391.46841618,30.862288425326877,0.0
2023-04-21,2023,3.0434e-07,129095301.72730485,97389344.72057502,22.32413443837975,0.0
2023-04-22,2023,1.99308e-07,83562738.73258479,78113823.725372,-34.51140172175856,0.0
2023-04-23,2023,2.91961e-07,123288886.07513855,53946362.66753009,46.487346217913995,0.0
2023-04-24,2023,3.16994e-07,133898838.64543831,45897323.73744655,8.574090375084342,0.0
2023-04-25,2023,2.98731e-07,126190008.33926967,31241639.699600868,-5.761307785005387,0.0
2023-04-26,2023,2.5824199999999996e-07,108105799.50770988,32292830.03813283,-13.553665337711863,0.0
2023-04-27,2023,2.2067499999999998e-07,92867729.03705756,32616452.913233563,-14.547207657933248,0.0
2023-04-28,2023,2.72214e-07,114833271.2802805,26543712.93965205,23.355160303613907,0.0
2023-04-29,2023,3.29251e-07,139695683.63832366,29101148.94733988,20.953000213067675,0.0
2023-04-30,2023,4.6847799999999997e-07,197503206.57831737,54390976.035783805,42.28597635238769,0.0
2023-05-01,2023,7.26486e-07,305262025.5891942,192792101.86654368,55.07366407814243,0.0
2023-05-02,2023,1.200937e-06,515729939.1527718,409003678.5137053,65.30765906018836,0.0
2023-05-03,2023,1.133591e-06,474930300.6967698,263820443.99154747,-5.607787918933294,0.0
2023-05-04,2023,1.098764e-06,462028649.0730819,206022408.42503214,-3.072272098137685,0.0
2023-05-05,2023,1.952961e-06,815215089.4315486,419857577.5390348,77.74162604526542,0.0
2023-05-06,2023,3.722413e-06,1542697635.3156803,1678217180.7872844,90.60355019890306,0.0
2023-05-07,2023,2.641921e-06,1096449364.184666,1238861906.9751427,-29.026655559176262,0.0
2023-05-08,2023,2.836655e-06,1196280618.8264537,648447246.632378,7.370924414469626,0.0
2023-05-09,2023,1.9476529999999998e-06,809231665.013192,972869794.7796863,-31.33979986991722,0.0
2023-05-10,2023,2.005734e-06,849357084.0804384,500791610.4238046,2.9821020479520843,0.0
2023-05-11,2023,1.922358e-06,807493916.3958397,395760613.0404395,-4.156882218679037,0.0
2023-05-12,2023,1.4043859999999999e-06,592161335.143536,512358306.22881746,-26.94461697561017,0.0
2023-05-13,2023,1.725788e-06,724945215.3761889,766574522.9188473,22.885588435088366,0.0
2023-05-14,2023,1.883193e-06,797979693.9554712,827927509.1083292,9.120761066828598,0.0
2023-05-15,2023,1.797658e-06,757521732.6417623,339799599.2006508,-4.542019856700829,0.0
2023-05-16,2023,1.7340599999999998e-06,729020141.9665443,314544807.2621635,-3.5378253260631487,0.0
2023-05-17,2023,1.671716e-06,704611673.564928,242858144.46666574,-3.5952619863211077,0.0
2023-05-18,2023,1.578111e-06,664674331.2894682,266204338.56434864,-5.599336250894293,0.0
2023-05-19,2023,1.591251e-06,674242713.4825983,215363785.20892355,0.8326410499641668,0.0
2023-05-20,2023,1.530136e-06,646435811.0701307,140729115.5111361,-3.8406888668098382,0.0
2023-05-21,2023,1.724063e-06,724726012.1152519,291980134.6867507,12.673840756638622,0.0
2023-05-22,2023,1.6056059999999999e-06,677575768.9608785,196805411.58133382,-6.870804605168146,0.0
2023-05-23,2023,1.533497e-06,645055633.0514376,137066025.10676485,-4.491076889348944,0.0
2023-05-24,2023,1.6070179999999999e-06,676162678.7615135,153416231.1195254,4.79433608282247,0.0
2023-05-25,2023,1.445632e-06,610661430.8432977,225943783.68619618,-10.042575752107307,0.0
2023-05-26,2023,1.435142e-06,604880018.9012996,149144499.58473134,-0.7256341862936111,0.0
2023-05-27,2023,1.46088e-06,614286160.1028252,128906456.03161246,1.7934113836818977,0.0
2023-05-28,2023,1.524234e-06,640824399.9306661,94012080.18424727,4.336701166420243,0.0
2023-05-29,2023,1.501189e-06,632788130.2559596,100017187.21591769,-1.5119069644162209,0.0
2023-05-30,2023,1.4379e-06,605029874.3543324,81755520.94165727,-4.215924843573992,0.0
2023-05-31,2023,1.2970329999999999e-06,545316106.8473295,115964810.69682674,-9.796717435148494,0.0
2023-06-01,2023,1.264827e-06,533752302.7496974,121021441.73314716,-2.48305170338764,0.0
2023-06-02,2023,1.245931e-06,524330364.06720567,111850189.73013799,-1.493959252925503,0.0
2023-06-03,2023,1.282823e-06,539722853.6699535,66321079.80105382,2.9609986427819868,0.0
2023-06-04,2023,1.294851e-06,545200256.9739126,83015796.07122174,0.9376196092524047,0.0
2023-06-05,2023,1.242371e-06,522276998.13179296,66519455.35843328,-4.052975979475626,0.0
2023-06-06,2023,1.042303e-06,440198001.7982267,166215361.91587943,-16.103724249841633,0.0
2023-06-07,2023,1.201124e-06,507786272.21069396,225013178.0998602,15.237507711289332,0.0
2023-06-08,2023,1.075271e-06,452431162.26118666,142983072.68634245,-10.477935666925319,0.0
2023-06-09,2023,1.0835619999999999e-06,456233985.2083408,92992838.1037084,0.7710614347452793,0.0
2023-06-10,2023,1.134925e-06,476617369.06612206,132291925.14957346,4.7401994532846325,0.0
2023-06-11,2023,9.328950000000001e-07,392907685.77103895,203130642.6998988,-17.801176289182095,0.0
2023-06-12,2023,9.15788e-07,382875475.12674373,89435021.25148143,-1.8337540666420238,0.0
2023-06-13,2023,9.061529999999999e-07,381697622.45017886,88725549.85642187,-1.0520993941829482,0.0
2023-06-14,2023,9.17181e-07,384708734.1180163,110676470.6487233,1.217013020979918,0.0
2023-06-15,2023,8.88526e-07,374220583.99870694,91622612.00040528,-3.1242470134030254,0.0
2023-06-16,2023,8.95518e-07,376740819.09133685,95425022.51957022,0.786921260604645,0.0
2023-06-17,2023,9.6743e-07,406224580.2092031,165497986.75775522,8.03021268137547,0.0
2023-06-18,2023,1.001074e-06,422527946.98614866,121614255.59617023,3.4776676348676316,0.0
2023-06-19,2023,9.35346e-07,393410012.6983207,67778137.43981756,-6.565748386233183,0.0
2023-06-20,2023,9.433529999999999e-07,396688845.2810498,68460876.73490107,0.8560468532500254,0.0
2023-06-21,2023,1.066066e-06,446641180.94034594,111200330.05849719,13.008174034534271,1.2077618461538462e-06
2023-06-22,2023,1.380458e-06,581076836.8068392,485577763.3802423,29.490857038870022,1.2260747076923078e-06
2023-06-23,2023,1.54746e-06,651070212.104566,727698351.1623229,12.097579209218967,1.2469568307692308e-06
2023-06-24,2023,1.637892e-06,687989935.8676784,449104810.06642264,5.84389903454694,1.2683275076923075e-06
2023-06-25,2023,1.550726e-06,649019568.121266,345172362.5484341,-5.321840512072839,1.2875026769230767e-06
2023-06-26,2023,1.610542e-06,677853459.899172,250355130.35194126,3.8572900692965817,1.3092139692307693e-06
2023-06-27,2023,1.5217269999999999e-06,639430916.2150474,194276409.32732165,-5.514603158439835,1.328133446153846e-06
2023-06-28,2023,1.6216009999999999e-06,681142496.5571676,181229677.9919387,6.563200889515652,1.3482043230769233e-06
2023-06-29,2023,1.426155e-06,600130651.57626,151994886.58493498,-12.052656602949796,1.3655493076923077e-06
2023-06-30,2023,1.549929e-06,652349707.0176079,173077284.36268,8.678860292184233,1.3854214153846154e-06
2023-07-01,2023,1.652656e-06,695544815.2208881,347716747.83051485,6.627851985478039,1.4074518923076922e-06
2023-07-02,2023,1.5567389999999999e-06,652267435.7148088,102607670.82570043,-5.803809141164285,1.4272138153846153e-06
2023-07-03,2023,1.586039e-06,667299789.3546761,90009923.18651839,1.8821395237095029,1.4465490153846153e-06
2023-07-04,2023,1.828979e-06,766175421.9182279,324586840.180788,15.317403922602168,1.4674798e-06
2023-07-05,2023,1.718363e-06,723562325.7292428,174459449.92384598,-6.04796446542033,1.4827394461538461e-06
2023-07-06,2023,1.657475e-06,697732753.6132088,130937124.04710276,-3.543372384065535,1.4897631076923076e-06
2023-07-07,2023,1.556955e-06,655887145.789464,188079805.43346944,-6.064646525588624,1.4962764e-06
2023-07-08,2023,1.563207e-06,658465230.2173183,128002624.2913678,0.4015530313978166,1.503421676923077e-06
2023-07-09,2023,1.5515599999999998e-06,652178339.6542803,65413796.2052557,-0.7450708703325981,1.4972462769230768e-06
2023-07-10,2023,1.548389e-06,650129953.1928208,59777223.52142869,-0.20437495166154562,1.4637997538461539e-06
2023-07-11,2023,1.516647e-06,637191486.7053475,134470932.15523157,-2.0500016468729676,1.4464878461538462e-06
2023-07-12,2023,1.5055789999999999e-06,633477263.7084023,66783656.72085896,-0.7297677046801399,1.4260097538461538e-06
2023-07-13,2023,1.509516e-06,635326373.7102047,86724368.1451585,0.2614940830072632,1.4192691846153846e-06
2023-07-14,2023,1.705649e-06,715619073.5993848,205620210.22117704,12.993105074739187,1.4146524923076926e-06
2023-07-15,2023,1.63512e-06,686851411.2699183,330132775.3333947,-4.135024263491493,1.410233446153846e-06
2023-07-16,2023,1.644212e-06,691648212.1062822,108095997.86927015,0.556044816282597,1.4139230769230768e-06
2023-07-17,2023,1.5778279999999999e-06,661733326.2369201,69539138.09808497,-4.037435561837532,1.4116467692307691e-06
2023-07-18,2023,1.577953e-06,663461681.1819823,104098744.64656274,0.007922283037187228,1.4069507692307693e-06
2023-07-19,2023,1.519354e-06,638263958.1472048,76070635.03166193,-3.71360870697669,1.4026691692307693e-06
2023-07-20,2023,1.53276e-06,644770691.5178314,67986254.55671802,0.8823486824005355,1.3995722461538462e-06
2023-07-21,2023,1.5074349999999999e-06,634548595.9334279,70395781.21343037,-1.6522482319476062,1.3970448461538461e-06
2023-07-22,2023,1.525886e-06,643003939.1513677,69903756.2611361,1.2239997081134435,1.3962413846153845e-06
2023-07-23,2023,1.485061e-06,624556939.6751658,40199007.4723677,-2.675494761731867,1.3946076923076922e-06
2023-07-24,2023,1.50724e-06,634387884.03238,44886165.402191654,1.4934740054449058,1.394255446153846e-06
2023-07-25,2023,1.347761e-06,566547362.828891,104212174.27953458,-10.58086303442053,1.3884661846153845e-06
2023-07-26,2023,1.310615e-06,551129096.0034157,72099115.28651328,-2.75612664263174,1.3839278615384613e-06
2023-07-27,2023,1.335074e-06,560841992.0877185,133237787.39071345,1.8662231089984438,1.3808752e-06
2023-07-28,2023,1.344913e-06,565229158.2673187,111599306.11030434,0.7369628949406515,1.3768428153846153e-06
2023-07-29,2023,1.341919e-06,564454971.8930088,80182855.16164453,-0.22261663022069555,1.3752472307692306e-06
2023-07-30,2023,1.353777e-06,568487135.4032912,39242041.68243039,0.8836598930337836,1.3739954615384614e-06
2023-07-31,2023,1.297291e-06,545433926.2550696,68019742.4515175,-4.172474491736821,1.3714787076923076e-06
2023-08-01,2023,1.2373649999999999e-06,519430041.09763145,63218750.23319974,-4.619318256274041,1.3670653384615384e-06
2023-08-02,2023,1.27288e-06,533457206.6616184,96295579.05864173,2.870212103946712,1.3635528923076923e-06
2023-08-03,2023,1.2157779999999999e-06,511909630.46879935,99460324.45196511,-4.48604738859909,1.3601356307692308e-06
2023-08-04,2023,1.200072e-06,505829904.1464762,49388852.46098058,-1.2918476892985309,1.358643923076923e-06
2023-08-05,2023,1.155492e-06,488623255.4177107,62357781.50537798,-3.714777113373202,1.3569618461538461e-06
2023-08-06,2023,1.154899e-06,484880250.4148465,59408613.01184545,-0.05132013029948146,1.3555613538461538e-06
2023-08-07,2023,1.157641e-06,487220364.8348162,53059982.49078376,0.23742335909893164,1.353635476923077e-06
2023-08-08,2023,1.115301e-06,470294417.675523,90162841.90933366,-3.657437841265132,1.350873169230769e-06
2023-08-09,2023,1.1755489999999999e-06,495032096.3059238,132127335.50706844,5.401949787546134,1.3498451384615385e-06
2023-08-10,2023,1.2354469999999999e-06,519081424.0546337,167084250.39139554,5.095321420034393,1.3528165846153847e-06
2023-08-11,2023,1.231541e-06,518199336.10847455,66139801.23336588,-0.3161608713283415,1.3532845384615384e-06
2023-08-12,2023,1.246533e-06,524695417.5599518,53632622.5447399,1.2173366538344998,1.3559193384615386e-06
2023-08-13,2023,1.347236e-06,565342771.9559815,102216846.80222213,8.07864693513931,1.3599758615384615e-06
2023-08-14,2023,1.367911e-06,573993674.7212431,100229668.39197285,1.5346234809639814,1.3635602615384615e-06
2023-08-15,2023,1.409667e-06,592940633.668601,128909192.50132665,3.052537774752895,1.3708952153846154e-06
2023-08-16,2023,1.267686e-06,533219812.5913529,112775261.42276877,-10.071953163406677,1.3763090307692306e-06
2023-08-17,2023,1.166664e-06,490992710.47079754,111741874.68106256,-7.9690080982198985,1.3803168923076924e-06
2023-08-17,2023,1.187311e-06,499505720.8268979,118057197.29535998,1.7697469022786239,1.3844727384615386e-06
